Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB1016,"BARROS, Maria Paes de. ",História do Brasil,,,Livraria Liberdade,1932,São Paulo-SP,,Livro,,645p.,,
AB1017,"PAULA, E.S.P.(org.)","Anais do V Simpósio Nacional dos Professores Universitários de História. Portos, Rotas e Comércio ",,,"DH, FFLCH-USP",1971,São Paulo-SP,,Anais,v.2,569p.,Coleção da Revista de História,
AB1018,"LUNÉ, Antônio José Batista de; FONSECA, P. D. (org.)",,Almanak da Província de Sào Paulo para 1873,São Paulo (Estado) - História - 1873,Imprensa Oficial,1985,São Paulo-SP,,Almanaque,,,Reprodução fac-similar da edição publicada pela Typographia Americana em 1873.,
AB1019,"PAULA, E.S.P.","Anais do V Simpósio Nacional dos Professores Universitários de História. Portos, Rotas e Comércio ",,,"DH, FFLCH-USP",1971,São Paulo-SP,,Anais,v.1,586p.,Coleção da Revista de História,
AB1020,,Annaes da Assembléia Legislativa Provincial (1857),,,Sociedade Impressora Paulista,1929,São Paulo-SP,,Anais,,792p.,,
AB1021,,44a. Reunião Anual (SBPC). 500 anos: Memória e Diversidade,,,SBPC,1992,São Paulo-SP,,Programa,,124p.,"Acompanha livreto de informações gerais, guia para os participantes dos eventos e um resumo diário de atividades do dia 12/07/1992.",
AB1022,,44a. Reunião Anual (SBPC). 500 anos: Memória e Diversidade,,,SBPC,1992,São Paulo-SP,,Anais,,946p.,Acompanha mais 1 exemplar.,
AB1023,,Resumos da 23a. Reunião Anual (SBPC),Ciência e Cultura,,SBPC,jun./1971,São Paulo-SP,,Suplemento de Revista ,v.23,449p.,,
AB1024,,Resumos da 24a. Reunião Anual (SBPC),Ciência e Cultura,,SBPC,jun./1972,São Paulo-SP,,Suplemento de Revista ,"v.24, n.6",566p.,,
AB1025,,Resumos da 30a. Reunião Anual (SBPC),Ciência e Cultura,,SBPC,jul./1978,São Paulo-SP,,Suplemento de Revista ,"v.30, n.7",686p.,,
AB1026,,Resumos da 41a. Reunião Anual (SBPC),Ciência e Cultura,,SBPC,jul./1989,São Paulo-SP,,Suplemento de Revista ,"v.41, n.7",886p.,,
AB1027,,45a. Reunião Anual (SBPC). Ciência e qualidade de vida,,,SBPC,1993,São Paulo-SP,,Anais,v.1,970p.,,
AB1028,,45a. Reunião Anual (SBPC). Ciência e qualidade de vida,,,SBPC,1993,São Paulo-SP,,Anais,v.2,1002p.,,
AB1029,,,Ciência Hoje,,,jul./1993,São Paulo-SP,,Suplemento de Revista ,"v.16, n.92",31p.,,
AB1030,,17o. Simpósio Nacional de História (ANPUH). História e Utopias,,,ANPUH,jul./1993,São Paulo-SP,,Programa e resumos,,160p.,,
AB1031,"PAULA, E.S.P.(org.)",Anais do 4o. Simpósio Nacional dos Professores Universitários de História (ANPUH). Colonização e Migração. ,,,"DH, FFLCH-USP",1969,São Paulo-SP,,Anais,,773p.,Coleção da Revista de História,
AB1032,"WITTER, J.S.",Anais do 2o. Encontro do Núcleo Regional de São Paulo (ANPUH). Colonização e Migração. ,,,"DH, FFLCH-USP",1974,São Paulo-SP,,Anais,,246p.,Coleção da Revista de História,
AB1033,"PESSOA, Reinaldo X. C.  ","Diálogo entre um corcunda, um constitucional e um federativo do Equador: um raro e curioso documento",Série Textos e Documentos,,"DH, FFLCH-USP",1975,São Paulo-SP,,Texto,,29p.,Coleção da Revista de História,
AB1034,,19o. Encontro Anual da ANPOCS,,,FFLCH-USP,1995,São Paulo-SP,,Anais,,196p.,,
AB1035,"ROCRIGUES, M.R. da C.","Roteiro de uma excursão aos monumentos tombados pelo Patrimônio Histórico e Artístico Nacional, na área da capital",,,"[DH, FFLCH-USP]",s.d.,São Paulo-SP,,Roteiro,,13p.,,
AB1036,,Anais do 4o. Simpósio Nacional de História (ANPUH). História e Identidades. ,,,"DH, FFLCH-USP",1981,São Paulo-SP,,Caderno de Resumos,,150p.,Coleção da Revista de História,
AB1037,"MAIA, Tom; Maia, Thereza R. de C.","O folclore das tropas, tropeiros e cargueiros no Vale do Paraíba",,Transportes terrestres - tropas e tropeiros; Tipos populares - Brasil.,MEC-SEC/FUNARTE/ Instituto Nacional do Folclore/ Secretaria de Estado e Cultura de São Paulo/ Universidade de Taubaté.,,São Paulo-SP/ Rio de Janeiro-RJ,,Livro,,125p.,,
AB1038,"DH, FFLCH-USP",Dossiê proposta de modificação da grade curricular do curso de História,,,,1986,São Paulo-SP,,"Textos datilografa-dos, impressos  e apontamentos",,59p.,Acompanha cóp. xerox dos apontamentos e grade curricular do curso de História da [PUC-SP],
AB1039,"MINISTÉRIO DAS RELAÇÕES EXTERIORES, Comissão de Estudo dos Textos de História do Brasil",Estudos Americanos de História do Brasil ,,,Divisão de Documentação - Seção de Publicações,1967,[Rio de Janeiro-DF],,Livro,,208p.,,
AB1040,,,Lua Nova. Revista de Cultura e Política ,,Centro de Estudo de Cultura Contempo-rânea.,ago./1989,São Paulo-SP,,Revista,n.18,210p.,"Número sobre as ""Relações Internacionais e o Brasil"". ",
AB1041,,,Lua Nova. Revista de Cultura e Política ,,Brasiliense/ Cedec ,abr.-jun./1984,São Paulo-SP,2a. ed.,Revista,n.19,91p.,,
AB1042,,,Revista da Academia Paulista de História,,Academia Paulista de História,nov.-dez./1982,São Paulo-SP,,Revista,n.2,257p.,Acompanha mais 1 exemplar.,
AB1043,"GRAHAM, Richard (ed.)",A century of brazilian history since 1865. Issues and problems.,,,Alfred A Knof,1969,Nova Iorque - EUA,1ª ed.,Livro,,233p.,,
AB1044,"MOLINA, Thomaz Carlos de ",Almanak de São João do Rio Claro. Pará 1873,,,IMESP/ DAESP,1981,São Paulo-SP,,Almanaque,,71p.,Edição fac-similar ,
AB1045,,,Revista de Filosofia e Ciências Humanas,,Universidade de Passo Fundo,set./1985,Passo Fundo-RS,,Revista,"ano 1, n.2",126p.,,
AB1046,,,Revista Brasileira de Estudos Políticos,,Universidade Federal de Minas Gerais,jan./1993,Belo Horizonte - MG,,Revista,n.76,207p.,,
AB1047,"SANTOS, Maria Cecília Loschiavo dos",Escola Politécnica da Universidade de São Paulo: 1894-1984,,Escola Politécnica da Universida-de de São Paulo - História,Reitoria da Universidade de São Paulo/ Escola Politécnica/ Fundação para o Desenvolvi-mento Tecnológico da Engenharia  ,1985,São Paulo-SP,,Livro,,668p.,,
AB1048,,Prudente de Moraes. Parlamentar da Província de São Paulo (1868-1889) ,Publicação ,Assembléia Legislativa do Estado de São Paulo,Imprensa Oficial,2004,São Paulo-SP,,Livro,,313p.,,
AB1049,,Acervo Histórico ,Periódico,Assembléia Legislativa do Estado de São Paulo,Imprensa Oficial,2004,São Paulo-SP,,Revista,n. 2 ,88p.,,
AB1050,,Revista História,Periódico,Arquivo do Estado de São Paulo,Imprensa Oficial2003,set/out.2003,São Paulo_SP,,Revista,n. 12,81p.,,
AB1051,,Arca,Periódico,Arquivo Histórico de Campo Grande,"Funcesp-Fundação Municipal de Cultura, Esporte e Lazer",2003,Campo Grande - MS,,Revista,n. 9,64p.,,
AB1052,,Arca,Periódico,Arquivo Histórico de Campo Grande,"Funcesp-Fundação Municipal de Cultura, Esporte e Lazer",2004,Campo Grande - MS,,Revista,n. 10,64p.,,
AB1053,,Mesoamérica,Periódico,Plumsock Mesoamerican Studies,CIRMA,2004,Miami - EUA,,Revista,n. 46,298p,,
AB1054,,Estudos Avançados -  Religiões no Brasil,Periódico,Universi-dade de São Paulo,IEA-USP,set/dez.2004,São Paulo-SP,,Revistas,"vol. 18, n. 52",394p.,,
AB1055,,Estudos Avançados - Trabalho e emprego/ Reforma da Justiça/ Células-tronco/ Machado de Assis ,Periódico,Universi-dade de São Paulo,IEA-USP,maio/ag.2004,São Paulo-SP,,Revista,"v. 18, n. 51",377p.,,
AB1056,"ZAMORA, José Antonio",Religião após o seu final: adorno versus habermas,Periódico,Universi-dade São Francisco,EDUSF,1996,Bragança Paulista-SP,,Cadernos,nº 14,91p.,,
AB1057,"MOREIRA, Alberto e MATTOS, Fernando, A M.",Neopentecostalismo; Mercado de Trabalho,Periódico,Universi-dade São Francisco,EDUSF,1996,Bragança Paulista-SP,,Cadernos,nº 15,88p.,,
AB1058,,Memória SBPC - Fundação e Primeiros Movimentos - 1948-1958,Periódico,Artis Artes Gráficas,SBPC,2004,São Paulo-SP,,Cadernos,nº 7,83p,,
AB1059 ,"KAREPOVS, Dainis (texto e pesquisa)",São Paulo: a imperial cidade e a Assembléia Legislativa Provincial,Publicação ,Imprensa Oficial,Assembléia Legislativa do Estado de São Paulo,2005,São Paulo-SP,,Publicação,,139p,,
AB1060,,Universidade e Democracia,Publicação ,DCE-Livre da USP,Centros Acadêmi-cos APG USP,2005,São Paulo-SP,,Publicação,,19p,,
AB1061,"FLORENTINO, Teresinha Aparecida Del ",A produção e consumo da prosa de ficção em São Paulo (1900-1922),Separata,Revista de História,Gráfica FFLCH-USP,1977,São Paulo-SP,,Separata,"RH, nº 112",499-515,,
AB1062,,Informações Acadêmicas - Aluno de Graduação,Publicação ,Pró-Reitoria de Graduação,USP,2004,São Paulo-SP,,Publicação,,36p,,
AB1063,,A Universidade e as Profissões - FFLCH/USP,Publicação ,FFLCH-USP,SDI / FFLCH-USP,ag./2004,São Paulo-SP,,Publicação,,27p.,06 exemplares,
AB1064,,Faculdade de Filosofia - FFLCH-USP - 1934-2003,Publicação ,FFLCH-USP,SDI / FFLCH-USP,2003,São Paulo-SP,2ª ed.,Publicação,,52p,02 exemplares,
AB1065,,Estudos Avançados: O negro no Brasil (Dossiê),Periódico,Universi-dade de São Paulo,IEA-USP,jan/abr 2004,São Paulo-SP,  ,Publicação  ,"v.18,nº 50",363p,,
AB1066,,Estudos Avançados: Amazônia brasileira I (Dossiê),Periódico,Universi-dade de São Paulo,IEA-USP,jan/abr 2005,São Paulo-SP,,Publicação,"v.19, nº 53",377p.,,
AB1067,,Acervo Histórico ,Periódico,Divisão de Acervo -Imprensa Oficial,Assembléia Legislativa do Estado de São paulo,2005,São Paulo-SP,,Publ. semestral,nº 3,96 p,,
AB1068,,Revista História,Periódico,D.História-FFLCH-USP,Humanitas,2005,São Paulo-SP,,Publ. semestral,nº152,214p.,1º Semestre,
AB1069,,Estudos Avançados-Dossiê Amazônia Brasileira I,Periódico,IEA-USP,IEA-USP,2005,São Paulo-SP,,Publ. quadrimestral,"vol.19,nº 53",377p.,,
AB1070,,Estudos Avançados-Dossiê Amazônia Brasileira II,Periódico,IEA-USP,IEA-USP,2005,São Paulo-SP,,Publ. quadrimestral,"vol.19,nº 54",454p,,
AB1071,,Mesoamérica,Periódico,CIRMA,Plumsock Mesoamerican Studies,2005,USA,,Publ.Anual,"ano 26,nº 47",214p.,,
AB1072,"MONGELLI, Lênia Marcia de Medeiros (org.); SODRÉ, Paulo Roberto (coord.)",Fontes Primárias da Idade Média-séculos V-XV,Catálogo,ABREM - Assoc. Bras.de Estudos Medievais,Ibis,2005,Cotia-SP,,Publicação,vol.3,360p,,
AB1073,,Estudos Avançados: Dossiê América Latina,Periódico,Universi-dade de São Paulo,IEA-USP,2005,São Paulo-SP,,Publicação,"vol.l9, nº 55",376p.,,
AB1074,,Cerimônia de outorga do título de Professor Emérito ,,FFLCH-USP,SDI-FFLCH-USP,2005,São Paulo-SP,,Série Eméritos,,46p.,Prof. Dr. José Pereira de Queiróz Neto,
AB1075,,Revista História,Periódico,FFLCH-USP ,Humanitas,2005,São Paulo-SP,,Revista,nº 153,360p.,,
AB1076,,Arca,Periódico,Arquivo Histórico de Campo Grande,Fundação Municipal de Cultura,2005,Campo Grande-MS,,Revista,nº 11,64 p.,Revista de Divulgação,
AB1077,"MONGELLI, Lênia Marcia de Medeiros (org.); SODRÉ, Paulo Roberto (coord.)",Fontes Primárias da Idade Média-séculos V-XV,Catálogo,ABREM - Assoc. Bras.de Estudos Medievais,Ibis,1999,Cotia-SP,,Publicação,vol.1,266 p.,,
AB1078,"MONGELLI, Lênia Marcia de Medeiros (org.); SODRÉ, Paulo Roberto (coord.)",Fontes Primárias da Idade Média-séculos V-XV,Catálogo,ABREM - Assoc. Bras.de Estudos Medievais,Ibis,1999,Cotia-SP,,Publicação,vol.2,208 p.,,
AB1079,,Acervo Histórico ,Periódico,Divisão de Acervo -Imprensa Oficial,Assembléia Legislativa do Estado de São Paulo,2005,São Paulo-SP,,Publicação Semestral,nº 4,100 p.,,
AB1080  ,"RIGAMONTE, Rosani Cristina",Sertanejos contemporâneos: entre a metrópole e o sertão,Publicação ,FFLCH-USP,Humanitas,2001,São Paulo -SP,,Publicação,,255 p.,,
AB1081 ,"SAMARA, Eni de Mesquita (org.) ",Trabalho Feminino e Cidadania,Publicação ,FFLCH-USP,Humanitas,1999,São Paulo-SP,,Publicção,nº 1,239 p.,Cursos e Eventos - Nova Série nº 1,
AB1082,,Cadernos do IFAN          ,Periódico,Instituto Franciscano de Antropologia-IFAN,Ed.Uni-versitária São Francisco,2001,Bragança Paulista-SP,,Cadernos,nº 29/30,110 p.,,
AB1083,,A Universidade e as Profissões,Catálogo,USP-Pró-Reitoria de Cultura e Extensão Universitária,Imprensa Oficial,2006,São Paulo,,Catálogo das Profissões,,136p.,2 exemplares,
AB 1084,,Informe: artigos e entrevistas. Ed.Especial,Periódico,SDI/FFLCH/USP,FFLCH-USP,2006,São Paulo,,Publicação,v. 1,265p.,4 exemplares,
AB1085,,Informe: artigos e entrevistas. Ed. Especial,Periódico,SDI/FFLCH/USP,FFLCH-USP,2006,São Paulo,,Publicação,v. 2,269p.,4 exemplares,
AB 1086,,The Berkeley Undergraduate Journal,Periódico,The University of California,,1989,California-USA,,Publicação,,69p.,,
AB1087 ,"MOTOYAMA, Shozo (Org.)",USP 70 anos. Imagens de uma História Vivida,Publicação ,Centro de História da Ciência,EDUSP,2006,São Paulo,,Publicação,,704p.,,
AB 1088,"BARBOSA, Wilson do Nascimento",Balanço da economia brasileira: 1940-1980,Publicação ,Gráfica Paym,LCTE Editora,2006,São Paulo,,Publicação,,159p.,,
AB1089,"GIANOTTI, José Arthur",A Universidade em ritmo de barbárie.,Resenha,,,1987,São Paulo,,Periódico,nº 39 (1),98-100, Ciência e Cultura. Resenha de Sylvia Germignani Garcia,
AB1090,,A Universidade e as Profissões,Catálogo,SDI-Serviço de Divulgação e Informação,Gráfica-FFLCH-USP,2004,São Paulo,,Catálogo das Profissões,,27p.,2 exemplares,
AB1091,,A Universidade e as Profissões,Catálogo,SDI - FFLCH-USP,Gráfica FFLCH-USP,2005,São Paulo,,Catálogo das Profissões,,27p.,2 exemplares,
AB1092,"GALVÃO, Walnice Nogueira",Aula Inaugural,Publicação ,SDI-FFLCH-USP,Gráfica FFLCH-USP,2006,São Paulo,,Publicação,,24p.,2 exemplares,Gilda de Mello e Souza - um percurso intelectual
AB1093,"MONTEIRO, Carlos Augusto de Figueiredo",Aula Inaugural,Publicação ,SDI-FFLCH-USP,,2005,São Paulo,,Publicação,,48p,2 exemplares,O sentimento do mundo entre a ciência (Geografia) e a arte (Poesia Dramática) no nascedouro do Brasil
AB1094,,Estudos Avançados - Dossiê Brasil no Futuro ,Periódico,IEA-USP,IEA-USP,2006,São Paulo,,Revista,"v.20,nº 56",346p.,,
AB1095,,Estudos Avançados - Dossiê Migrações,Periódico,IEA-USP,IEA-USP,2006,São Paulo,,Revista,"v.20, nº 57",414p.,,
AB1096,,Coletânia,,"BRAUDEL, Fernand Paul",,1935-1994,São Paulo,,Coletânia,,52p.,"Relação  de 14 documentos : artigos, notícias e resenhas em revistas, jornais e web.",
AB1097,,Mesoamérica,Periódico,CIRMA - Centro de Investigaciones regionales de mesoamérica,Plumsock Mesoamerican Studies,2006,USA,,,"Ano 27, nº 48",195p.,,
AB1098,,Informe: Informatico da FFLCH/USP,Periódico,Edição Especial - 2005,FFLCH-USP,2007,São Paulo,,Periódico,,203p.,4 exemplares,
AB1099,"TOGNETTI, Valdirene Aparecida",A Constituição da pesquisa científica em Química na Universidade de São Paulo: uma análise preliminar,Dissertação de Mestrado ,Pesquisa em Química - USP,,2006,Itatiba - SP,,,,123p. + anexos,Universidade São Francisco,
AB1100,"CELESTE FILHO, Macioniro",A Reforma Universitária e a Universidade de São Paulo - década de 1960,Tese de Doutorado,Reforma Universitária - USP,PUC-SP,2006,São Paulo,,,,285p.,PUC-SP,
AB1101,"SENISE, Paschoal",Origem do Instituto de Química da USP. Reminiscências e Comentários,Publicação ,IQ-USP,Instituto de Química da USP,2006,São Paulo,,Publicação,,188p.,4 exemplares,
AB1102,,Revista  de História,Periódico,,Departamento de História/FFLCH/USP,2006,São Paulo,,,nº 155,326p.,,
AB1103,,Estudos Avançados ,Periódico,Dossiê Energia,IEA-USP,2007,São Paulo,,,"v.21, nº 59",382p.,,
AB1104,,Mesoamérica,Periódico,CIRMA - Centro de Investigaciones regionales de mesoamérica,Plumsock Mesoamerican Studies,2007,USA,,,"Ano 28, nº 49",200p.,,
AB1105,"MOTOYAMA, Shozo. NAGAMINI, Marilda","Escola Politécnica , 110 anos construindo o futuro",Publicação ,Escola Politécnica - USP,EDUSP,2004,São Paulo,,,,400p.,,
AB1106,,ARCA - Revista de Divulgação do Arquivo Histórico de Campo Grande,Periódico,Fundação Municipal de Cultura,Gráfica Editora Alvorada,2006,Mato Grosso do Sul ,,Periódico,nº 12,64p. ,,
AB1107,"CONTI, José Bueno","A Faculdade de Filosofia, as humanidades básicas e seu papel no debate da questão ambiental ",Aula Inaugural,FFLCH/USP,FFLCH/USP,2007,São Paulo,,,,23p.,2 exemplares,
AB1108,"QUEIROZ NETO, José Pereira de",Saltos e ressaltos de uma carreira acadêmica. ,Discurso - Prof. Emérito,FFLCH/USP,FFLCH/USP,2005,São Paulo,,,,46p.,Série Eméritos. Discurso de saudação: Selma Simões de Castro. 2 exemplares,
AB1109,,Revista do Arquivo Municipal,Periódico,Depto. do Patrimônio Histórico,DPH,2006,São Paulo,,Periódico,v.204,192p.,30 anos de DPH,
AB1110,,Estudos Avançados. Dossiê Crime Organizado,Periódico,Instituto de Estudos Avançados- USP,IEA-USP,2007,São Paulo,,Periódico,"v.21, nº 61",328p.,,
AB1111,,ARCA - Revista de Divulgação do Arquivo Histórico de Campo Grande,Periódico,Fundação Municipal de Cultura,Gráfica Editora Alvorada,2007,Mato Grosso do Sul ,,Periódico,nº 13,64p. ,,
AB1112,"JUCÁ, Joselice",André Rebouças: Reforma & Utopia no Contexto do Segundo Império. Quem possui a terra possui o homem,Publicação ,Constr.   Norberto Odebrecht,Gráfica JB,2001,Rio Janeiro,,Publicação,,208p.,,
AB1113,,Estudos Avançados - 63. Dossiê Água,Revista,USP,USP,2008,São Paulo,,Publicação,,336,"v. 22, n. 63, mai/ag. 2008",
AB1114,,Mesoamérica,Periódico,CIRMA- Centro de investigacones regionales de Mesoamérica,Plumsock Mesoamerican Studies,2008,USA,,Publicação,,372,Índice General 1980-2008,
AB1115,,Mesoamérica,Periódico,,Plumsock Mesoamerican Studies,2008,USA,,Publicação,,285,"nª 50, enero-diciembre de 2008",
AB1116,"FURRER, Bruno (org.)",Carybé,Publicação ,Fundação Emílio Odebrecht,Pancrom Ind.Gráf. Ltda.,1989,"Salvador,BH",,Publicação,,452,Reimpressão - 2007,
AB1117, ,Revista de Informação Legislativa,Periódico,Publ. Técnicas,Senado Federal,2008,Braília - DF,,Publ. Trimestral,,392,"ano 45, nº 180, out/dez. 2008",
AB1118,,Estudos Avançados. Dossiê: Crise Internacional II,Periódico,USP,Imprensa Oficial,2009,São Paulo,,Publ. Quadrimestral,,364,"v. 23, nº 66, mai/ag.2009",
AB1119,,Cerimônia de outorga do título de Professor Emérito ao Prof.  Dr. José de Souza Martins,Publicação ,FFLCH/USP,SCS - S.de Artes Gráficas da FFLCH,2010,São Paulo,,,,50,4 explares.Data da outoraga: 23/10/2008,
AB1120,,ARCA. Revista do Arquivo Histórico de Campo Grande,Periódico,Prefeitura Campo Grande-MS,FUNDAC,2009,Campo Grande-MS,,,,64,nº 14,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AB1150,"FREITAS, Marcos Cezar de (org.)  ",Fontes Primárias da História da Educação Brasileira. O irracionalismo na educação brasileira,Publicação ,Univ. São Francisco,Dep. Gráfico da Univ. De S. Francisco,1994,Bragança Paulista – SP,  ,Publ. Quadrimestral,,68 p.,"Cadernos do Centro de Memória Regional. v. 2, nº 4",
AB 1151 ,,Catálogo das Coleções especiais e acervos museológicos da USP,Publicação ,USP,CPC-/SIBI/USP,2003,São Paulo,,,,168 p.,Comissão do Patrimônio Cultural-USP,
AB 1152,,Convite dos Formandos de 2009 do Curso de Letras da FFLCH-USP,Publicação ,,Cartoon. Art's Gráficas,2010,São Paulo,,,,24 p,,
AB 1153,"MOSER, Antonio et al",Temas de bioética,Publicação ,IFAN,Editora da Univ. S. Francisco,1995,Bragança Paulista – SP,,,,84 p,"Cadernos do IFAN, nº 10",
AB 1154,"MATTOS, Fernando A...M. De e MAIA Newton Freire",Plano Real; :o que é Ciência,Publicação ,IFAN,Editora da Univ. S. Francisco,1997,Bragança Paulista – SP,,,,87 p,"Cadernos do IFAN, nº 15",
AB 1155,"MOREIRA, Alberto et al.",Economia Regional: Bragança Paulista,Publicação ,IFAN,Editora da Univ. S. Francisco,1997,Bragança Paulista – SP,,,,108 P.,cADERNOS do IFAN nº 17,
